country_of_origin,enwiki_title,genre,made_profit,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent
United States of America,Kill Bill: Volume 2,action film,1.0,English,2004-04-16,3.8,89.0,840362.0,7.8,84.0
Q258,Safe House (2012 film),thriller film,1.0,English,2012-01-01,3.6,63.0,118483.0,5.7,53.0
United States of America,Big Stan,comedy film,0.0,English,2007-01-01,3.1,44.0,5926.0,3.0,11.0
United States of America,W. (film),biographical film,1.0,English,2008-01-01,3.0,42.0,109600.0,6.0,58.0
United States of America,Jingle All the Way,family film,1.0,English,1996-11-16,2.6,38.0,228398.0,4.0,16.0
United States of America,Choke (film),comedy film,1.0,English,2008-01-01,3.2,52.0,34995.0,5.6,54.0
Q159,The 9th Company,drama film,1.0,Q7737,2005-09-29,3.7,75.0,6747.0,5.9,69.0
United States of America,Blue Streak (film),heist film,0.0,English,1999-01-01,3.0,64.0,201502.0,4.8,36.0
United States of America,Footloose (2011 film),romance film,1.0,English,2011-01-01,3.5,61.0,68671.0,6.1,69.0
United States of America,Thor: The Dark World,action film,1.0,English,2013-10-31,3.9,77.0,308393.0,6.2,66.0
United States of America,Shark Night,horror film,1.0,English,2011-01-01,2.3,22.0,28588.0,3.3,18.0
United States of America,Sgt. Pepper's Lonely Hearts Club Band (film),musical film,0.0,English,1978-01-01,2.8,44.0,7401.0,2.9,15.0
United States of America,The Last Exorcism Part II,horror film,1.0,English,2013-01-01,2.5,26.0,21796.0,3.6,16.0
United States of America,Percy Jackson: Sea of Monsters,fantasy film,1.0,English,2013-08-07,3.4,55.0,103582.0,5.2,43.0
United States of America,Courageous (film),drama film,1.0,English,2011-01-01,4.3,86.0,27630.0,4.8,30.0
United Kingdom,Philomena (film),drama film,1.0,English,2013-08-31,4.1,89.0,52269.0,7.8,91.0
United States of America,The Grand Budapest Hotel,comedy film,1.0,English,2014-02-06,4.1,86.0,96364.0,8.4,91.0
United States of America,The Fifth Estate (film),thriller film,0.0,English,2013-10-18,3.0,36.0,18691.0,5.4,37.0
United States of America,Gravity (2013 film),science fiction film,1.0,English,2013-10-03,4.0,80.0,301885.0,9.0,96.0
United States of America,The Call (2013 film),thriller film,1.0,English,2013-03-14,3.7,65.0,54319.0,5.2,45.0
United States of America,Prisoners (2013 film),crime film,1.0,English,2013-08-30,4.1,87.0,107528.0,7.3,82.0
United Kingdom,Saving Mr. Banks,biographical film,1.0,English,2013-12-13,4.0,84.0,111155.0,7.0,78.0
Q142,United Passions,drama film,0.0,English,2014-05-18,1.5,12.0,283.0,1.0,0.0
United States of America,Alice Through the Looking Glass (2016 film),fantasy film,0.0,English,2016-05-26,3.2,49.0,37569.0,4.6,29.0
United States of America,Burnt (film),comedy film,1.0,English,2015-01-01,3.1,44.0,17110.0,5.0,29.0
United States of America,Bridge of Spies (film),war film,1.0,English,2015-10-16,4.0,87.0,64930.0,7.7,91.0
United States of America,Unfriended,horror film,1.0,English,2014-01-01,2.8,37.0,29922.0,6.0,63.0
United States of America,The Intern (2015 film),comedy film,1.0,English,2015-09-24,3.8,73.0,44822.0,5.8,60.0
Q33,The Angry Birds Movie,comedy film,1.0,English,2016-05-12,3.2,46.0,29062.0,4.9,43.0
United States of America,Deadpool (film),action film,1.0,English,2016-01-01,4.3,90.0,185371.0,7.0,83.0
United States of America,Keeping Up with the Joneses (film),action film,0.0,English,2016-10-21,3.0,37.0,14016.0,4.4,20.0
United States of America,The Belko Experiment,horror film,1.0,English,2017-03-17,3.0,40.0,9311.0,5.4,52.0
United States of America,Runner Runner,crime film,1.0,English,2013-01-01,2.8,33.0,43013.0,4.0,8.0
Q159,Leviathan (2014 film),drama film,0.0,Q7737,2014-01-01,3.9,79.0,17180.0,8.6,99.0
United States of America,American Sniper,action film,1.0,English,2014-12-25,4.1,84.0,152923.0,6.9,72.0
United States of America,Goosebumps (film),horror film,1.0,English,2015-01-01,3.5,62.0,51634.0,6.3,76.0
United States of America,The Best of Me (film),romance film,1.0,English,2014-01-01,3.5,59.0,27014.0,3.5,8.0
United States of America,Mission: Impossible â€“ Rogue Nation,thriller film,1.0,English,2015-07-23,4.1,87.0,92221.0,7.5,93.0
Germany,A Man Apart,crime film,1.0,English,2003-04-04,3.4,62.0,85359.0,4.0,11.0
United States of America,The Preacher's Wife,fantasy film,1.0,English,1996-12-13,2.9,52.0,29382.0,5.9,60.0
United States of America,Timeline (film),action film,0.0,English,2003-01-01,2.9,45.0,56754.0,3.8,11.0
Q408,Mad Max: Fury Road,post-apocalyptic film,1.0,English,2015-05-13,4.2,85.0,125613.0,8.6,97.0
United States of America,Whiplash (2014 film),musical film,1.0,English,2014-01-01,4.5,94.0,68945.0,8.6,94.0
United States of America,The Age of Adaline,romance film,1.0,English,2015-04-23,3.7,67.0,38616.0,5.5,56.0
United States of America,Black Mass (film),drama film,1.0,English,2015-09-18,3.6,68.0,55322.0,6.7,73.0
Q664,What We Do in the Shadows,parody film,1.0,English,2014-01-19,4.1,86.0,26431.0,7.8,96.0
United States of America,Wild (2014 film),adventure film,1.0,English,2014-01-01,3.8,75.0,53853.0,7.5,90.0
United States of America,The Darkness (film),horror film,1.0,English,2016-01-01,2.2,19.0,6635.0,2.7,3.0
Germany,Collide (film),action film,0.0,English,2016-01-01,2.9,35.0,3874.0,4.0,23.0
United States of America,The Revenant (2015 film),Western,1.0,English,2015-12-25,4.1,84.0,104081.0,7.9,80.0
United States of America,The Drop (film),thriller film,1.0,English,2014-01-01,3.7,76.0,34291.0,7.1,89.0
United States of America,Chips (film),crime-comedy film,1.0,English,2017-01-01,3.1,45.0,11662.0,3.7,17.0
United Kingdom,A Street Cat Named Bob (film),biographical film,1.0,English,2016-11-04,3.9,76.0,4782.0,5.8,76.0
United States of America,Jackie (2016 film),biographical film,1.0,English,2016-09-07,3.4,60.0,28091.0,7.9,88.0
United States of America,Despicable Me 3,comedy film,1.0,English,2017-07-06,3.4,54.0,77993.0,5.7,59.0
United States of America,Blade Runner 2049,science fiction film,1.0,English,2017-10-03,4.1,81.0,57225.0,8.2,87.0
United States of America,Ready Player One (film),science fiction film,1.0,English,2018-03-11,4.0,79.0,19645.0,6.9,73.0
Q142,Rust and Bone,drama film,1.0,French,2012-01-01,3.8,80.0,21258.0,7.5,82.0
United States of America,The Blue Lagoon (1980 film),romance film,1.0,English,1980-01-01,2.9,53.0,55624.0,2.8,9.0
United States of America,Spartacus (film),drama film,1.0,English,1960-10-08,3.8,87.0,77817.0,8.2,96.0
United States of America,A Knight's Tale,action film,1.0,English,2001-03-08,3.5,79.0,378362.0,5.8,58.0
United States of America,Cloverfield,horror film,1.0,English,2008-01-16,3.4,68.0,420127.0,6.8,77.0
Q408,Happy Feet,buddy film,0.0,English,2006-11-17,3.6,70.0,617209.0,6.9,75.0
United States of America,300 (film),action film,1.0,English,2007-03-09,4.1,89.0,1434369.0,6.1,60.0
United States of America,Forrest Gump,coming-of-age story,1.0,English,1994-06-23,4.1,95.0,1243512.0,7.2,72.0
United States of America,The Wrestler (2008 film),drama film,1.0,English,2008-09-05,4.0,88.0,140194.0,8.4,98.0
Germany,Valkyrie (film),war film,1.0,English,2008-01-01,3.4,65.0,239261.0,6.1,62.0
United States of America,Psycho (1960 film),thriller film,1.0,English,1960-01-01,3.9,94.0,238970.0,9.2,97.0
Q664,The Lord of the Rings: The Two Towers,fantasy film,1.0,English,2002-12-05,4.1,95.0,1340679.0,8.5,95.0
United States of America,Bicentennial Man (film),science fiction film,0.0,English,1999-12-17,3.0,58.0,359356.0,4.8,36.0
United States of America,Madagascar (2005 film),buddy film,1.0,English,2005-05-27,3.4,66.0,988920.0,6.1,55.0
United States of America,The Social Network,biographical film,1.0,English,2010-09-24,4.1,86.0,203034.0,9.0,96.0
United States of America,Apocalypto,action film,1.0,Q13354,2006-01-01,3.7,79.0,442193.0,6.3,65.0
United Kingdom,The Bridge on the River Kwai,drama film,1.0,English,1957-01-01,4.0,93.0,54411.0,9.3,94.0
United States of America,Iron Man (2008 film),action film,1.0,English,2008-04-30,4.2,91.0,1079254.0,7.7,94.0
Q258,District 9,thriller film,1.0,English,2009-08-13,3.5,82.0,1177925.0,7.8,90.0
United States of America,Midnight in Paris,romantic comedy,1.0,French,2011-01-01,4.0,83.0,81989.0,7.8,93.0
United States of America,Once Upon a Time in America,crime film,0.0,Q652,1984-01-01,4.2,94.0,74523.0,8.6,86.0
United States of America,Mary Poppins (film),fantasy film,1.0,English,1964-08-29,3.5,86.0,681868.0,8.3,100.0
United States of America,30 Minutes or Less,comedy film,1.0,English,2011-08-12,3.0,40.0,46907.0,5.4,44.0
United States of America,Back to the Future Part III,science fiction film,1.0,English,1990-05-25,3.4,78.0,693990.0,6.5,74.0
United States of America,Frozen (2013 film),fantasy film,1.0,English,2013-11-10,4.2,85.0,305288.0,7.7,90.0
United States of America,Source Code,action film,1.0,English,2011-03-11,3.8,82.0,125040.0,7.5,92.0
United States of America,Hercules (1997 film),fantasy film,1.0,English,1997-06-15,3.3,75.0,388505.0,7.0,83.0
United States of America,The Exorcist (film),horror film,1.0,English,1973-01-01,3.7,87.0,419478.0,8.0,86.0
United States of America,Captain America: The First Avenger,action film,1.0,English,2011-05-06,2.1,16.0,10681.0,3.0,8.0
United States of America,Big Fish,fantasy film,1.0,English,2003-01-01,3.7,89.0,497910.0,7.2,76.0
United States of America,The Master (2012 film),drama film,0.0,English,2012-09-11,3.4,61.0,50033.0,8.1,85.0
United States of America,Atlantis: The Lost Empire,science fiction film,1.0,English,2001-06-15,2.9,52.0,365360.0,5.5,49.0
United States of America,Close Encounters of the Third Kind,science fiction film,1.0,English,1977-11-16,3.7,85.0,141565.0,8.9,95.0
United Kingdom,Doctor Zhivago (film),romance film,1.0,Q7737,1965-12-22,3.9,88.0,45643.0,7.5,82.0
United States of America,The Big Lebowski,buddy film,1.0,English,1998-03-19,4.0,94.0,355091.0,7.3,82.0
United States of America,Who Framed Roger Rabbit,neo-noir,1.0,English,1988-06-22,3.5,84.0,442269.0,8.4,97.0
United States of America,Air Force One (film),action film,1.0,English,1997-07-25,3.2,66.0,378528.0,7.0,78.0
United States of America,Bedazzled (2000 film),romantic comedy,1.0,English,2000-01-01,2.7,42.0,371129.0,5.5,49.0
United States of America,Schindler's List,war film,1.0,German,1993-12-15,4.3,97.0,410348.0,9.0,97.0
Q142,LÃ©on: The Professional,crime thriller,1.0,English,1994-01-01,4.1,95.0,273482.0,6.7,71.0
United States of America,Shrek the Third,action film,1.0,English,2007-05-06,3.4,52.0,2218408.0,5.4,41.0
United States of America,Charade (1963 film),romantic comedy,1.0,English,1963-12-05,4.1,92.0,42712.0,8.1,92.0
United States of America,The Perfect Storm (film),disaster film,1.0,English,2000-01-01,3.2,64.0,279091.0,5.5,47.0
United States of America,Beverly Hills Cop II,action film,1.0,English,1987-05-20,3.1,58.0,276124.0,4.9,48.0
United States of America,Play Misty for Me,thriller film,1.0,English,1971-01-01,3.5,72.0,12608.0,7.3,83.0
United States of America,Movie 43,comedy film,1.0,English,2013-01-01,2.1,24.0,35411.0,2.2,4.0
United Kingdom,Fish Tank (film),drama film,0.0,English,2009-01-01,3.8,79.0,13982.0,7.6,91.0
United States of America,Yogi Bear (film),comedy film,1.0,English,2010-12-11,2.8,34.0,56155.0,3.6,13.0
United States of America,Hobo with a Shotgun,thriller film,0.0,English,2011-01-01,3.3,57.0,20344.0,5.7,64.0
United States of America,Anger Management (film),comedy film,1.0,English,2003-03-05,3.2,60.0,745728.0,5.2,43.0
United Kingdom,Following,neo-noir,1.0,English,1998-01-01,3.8,85.0,22563.0,7.1,79.0
United States of America,Serenity (2005 film),action film,0.0,English,2005-08-22,3.9,91.0,312867.0,7.2,83.0
United States of America,Beverly Hills Cop,action film,1.0,English,1984-12-05,3.4,81.0,377313.0,7.1,84.0
United States of America,Capitalism: A Love Story,documentary film,0.0,English,2009-09-06,3.6,73.0,70711.0,6.7,75.0
United States of America,Hard to Kill,action film,1.0,English,1990-01-01,2.7,47.0,44876.0,3.7,33.0
United States of America,Big (film),romantic comedy,1.0,English,1988-06-03,3.5,82.0,401580.0,7.9,97.0
United States of America,Battle: Los Angeles,action film,1.0,English,2011-03-11,3.1,48.0,93572.0,4.8,35.0
Q142,Colombiana,action film,1.0,Q1321,2011-01-01,3.8,67.0,161875.0,4.9,29.0
United States of America,Little Fockers,comedy film,1.0,English,2010-01-01,2.9,34.0,133000.0,3.4,9.0
United States of America,Shortbus,comedy-drama,1.0,English,2006-01-01,3.6,77.0,55461.0,6.4,67.0
United States of America,Daybreakers,science fiction film,1.0,English,2009-09-11,3.2,49.0,209140.0,6.1,67.0
United States of America,Crazy Heart,musical film,1.0,English,2009-01-01,3.6,76.0,124736.0,7.4,91.0
United States of America,Annabelle: Creation,horror film,1.0,English,2017-01-01,3.6,68.0,21148.0,6.2,70.0
