country_of_origin,enwiki_title,genre,made_profit,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent
United States of America,The Legend of Hercules,action film,0.0,English,2014-01-08,2.6,33.0,40997.0,2.3,3.0
United States of America,Rudderless,musical film,0.0,English,2014-01-01,4.0,83.0,4023.0,6.2,62.0
United Kingdom,The Imitation Game,war film,1.0,English,2014-08-29,4.2,91.0,103046.0,7.7,90.0
United States of America,Life After Beth,comedy horror,0.0,English,2014-01-01,2.8,30.0,6996.0,5.3,42.0
United States of America,Kingsman: The Secret Service,spy film,1.0,English,2014-01-01,4.0,84.0,124616.0,6.8,75.0
United States of America,Nightcrawler (film),neo-noir,1.0,English,2014-01-01,4.0,85.0,85038.0,8.2,95.0
United Kingdom,Kingsman: The Golden Circle,action film,1.0,English,2017-09-21,3.6,66.0,44589.0,5.3,52.0
United States of America,Avengers: Infinity War,science fiction film,1.0,English,2018-04-25,4.5,91.0,43251.0,7.4,83.0
United States of America,The Emoji Movie,buddy film,1.0,English,2017-01-01,2.5,39.0,23834.0,2.7,8.0
United States of America,Logan (2017 film),superhero film,1.0,English,2017-01-01,4.3,90.0,89910.0,7.9,93.0
United States of America,Big Hero 6 (film),computer-animated film,1.0,English,2014-11-07,4.3,91.0,128671.0,7.3,89.0
United States of America,Furious 7,thriller film,1.0,English,2015-03-26,4.1,82.0,194500.0,6.7,80.0
United States of America,This Is Where I Leave You,comedy film,1.0,English,2014-01-01,3.5,59.0,35120.0,5.4,42.0
United States of America,22 Jump Street,action film,1.0,English,2014-06-04,3.9,77.0,170099.0,7.0,85.0
United Kingdom,Paddington (film),film adaptation,1.0,English,2014-11-23,3.9,80.0,49598.0,7.9,98.0
United States of America,Warcraft (film),fantasy film,1.0,English,2016-05-26,4.1,77.0,62844.0,4.2,27.0
United States of America,Annie (2014 film),musical film,1.0,English,2014-12-07,3.5,59.0,53332.0,4.5,28.0
United States of America,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (film)",comedy film,1.0,English,2014-10-10,3.5,58.0,37565.0,5.7,60.0
United States of America,Chappie (film),science fiction film,1.0,English,2015-03-05,3.4,56.0,49406.0,4.9,32.0
United States of America,Penguins of Madagascar,comedy film,1.0,English,2014-11-26,3.6,63.0,65132.0,6.2,73.0
United States of America,Self/less,science fiction film,1.0,English,2015-01-01,3.2,46.0,23737.0,4.5,18.0
United States of America,Everest (2015 film),thriller film,1.0,English,2015-09-17,3.6,68.0,47233.0,6.7,73.0
United States of America,John Wick (film),action film,1.0,English,2014-10-24,3.9,80.0,80790.0,6.9,86.0
United States of America,Annabelle (film),horror film,1.0,English,2014-01-01,2.9,36.0,48930.0,4.4,29.0
United States of America,How to Train Your Dragon 2,fantasy film,1.0,English,2014-01-01,4.3,89.0,187598.0,7.7,91.0
United States of America,American Hustle,crime film,1.0,English,2013-12-13,3.8,74.0,175352.0,8.2,93.0
United States of America,Ghost in the Shell (2017 film),Cyberpunk,1.0,English,2017-03-30,3.3,51.0,39400.0,5.6,44.0
United States of America,"Three Billboards Outside Ebbing, Missouri",drama film,1.0,English,2017-09-04,4.2,87.0,20539.0,8.5,92.0
United States of America,Interstellar (film),science fiction film,1.0,English,2014-10-26,4.1,85.0,172664.0,7.0,71.0
United States of America,The Signal (2014 film),science fiction film,0.0,English,2014-01-20,3.0,39.0,14623.0,5.8,60.0
United States of America,Life (2017 film),science fiction film,1.0,English,2017-03-23,3.3,55.0,32898.0,5.9,68.0
United States of America,The Shape of Water,speculative fiction film,1.0,English,2017-08-31,3.8,73.0,22942.0,8.4,92.0
United States of America,I Am Not Your Negro,documentary film,1.0,English,2016-01-01,4.1,83.0,13932.0,8.9,98.0
